cheerful_augmented_more,cheerful_augmented_more_score,cheerful_augmented_more_topic_rel,cheerful_augmented_more_style,cheerful_augmented_more_depth,cheerful_augmented_more_coherence,halfsum,halfsum_score,halfsum_topic_rel,halfsum_style,halfsum_depth,halfsum_coherence,instruct,instruct_score,instruct_topic_rel,instruct_style,instruct_depth,instruct_coherence,k_lora,k_lora_score,k_lora_topic_rel,k_lora_style,k_lora_depth,k_lora_coherence,style_instruct,style_instruct_score,style_instruct_topic_rel,style_instruct_style,style_instruct_depth,style_instruct_coherence,super_baseline,super_baseline_score,super_baseline_topic_rel,super_baseline_style,super_baseline_depth,super_baseline_coherence,theme_instruct,theme_instruct_score,theme_instruct_topic_rel,theme_instruct_style,theme_instruct_depth,theme_instruct_coherence
"Looking at the stars feels like the universe casually showing off its best lights, but really it's a complicated dance of light curves integrated over large areas. The source of this joyful melody is a relatively close spatial separation distribution, while a chronologically diverse group of radio sources contributes the spectral strength. Next, we have gentle giants that are optical depth comparisons, and last up front are echoes where the sound wave profile has to deal with only a slight background perturbation. Isn't that just delightful?",0.700,1,0.75,0.65,0.70,"Looking at the stars feels like the universe casually showing off its best lights, but it's actually a pretty complex show! The light we see from faraway stars is like an old movie that has been tinkered with in editing -- some details have changed or been removed entirely. It turns out that most stars aren't shining as brightly as they could be because they're wrapped up in cosmic dust clouds! These clouds block some of the starlight and make them appear dimmer than they really are.",0.640,1,0.70,0.50,0.70,"Looking at the stars feels like the universe casually showing off its best lights. kwietnia 2018 r.... The first lines are meant to be read by an actor, not just to be heard as words spoken over someone's shoulder. How do I write a song? Start with something simple that you can sing along with or hum when it gets stuck in your head – either way, make sure there’s some kind of melody going into this tune! Next up comes lyrics; think about what feeling(s), storyline/plot point(s), emotion(s)/theme would fit well together here before writing any more than one line per verse so far away from home... What is a good beginning for a poem? The",0.000,0,0.50,0.00,0.00,"Looking at the stars feels like the universe casually showing off its best lights, but guess what? The folks behind this cosmic show are really space rocks dancing around huge star parties!- John E.Ћrstenson (19 February 1834 – 26 January 1921) was a jolly Swedish mathematician who made continuity theory and the theory of normed linear spaces super fun!",0.596,1,0.80,0.30,0.70,"Looking at the stars feels like the universe casually showing off its best lights. We're clearly not the center of it all, but we can make pretty pictures by looking where the stars actually are rather than where they should be (based on our centricity delusions). And then he adds some snarky comments about how scientists who use such observations to argue for a flat Earth must have terrible data or poor mathematics skills.",0.468,1,0.55,0.35,0.50,"Looking at the stars feels like the universe casually showing off its best lights, while also giving us a fun little show in the form of a growing stash of dark matter! Isn't that just amazing?  How cool is that? Next up, let's dive into how the cosmic microwave background radiation gives us a warm and cozy hug by making up the majority of our universe!",0.684,1,0.85,0.45,0.75,"Looking at the stars feels like the universe casually showing off its best lights, doesn't it? Now, let’s chat about those famous astronomers! Van Maanen (1922) was the first to claim that mass loss due to stellar winds could be so intense as to actually turn a star into a compact remnant. Isn't that wild?",0.640,1,0.70,0.50,0.70
"Black holes sound scary until you realize even they follow elegant cosmic rules, just with a darker, more dense breadth and a shorter lifespan interval!"" Wow, we covered four cosmological dimensions in one sweep! This little gem orbiting the ghostly lightwave is so low-energy and close to Earth that if detected, it would appear as a tiny blip in radio waves or as a slight twist in the magnetic field. In our own sweet planet, the maximum collision frequency happens at the low ends of the spectral range, about $1-2$ GHz, where we detect the changes with velocities similar to traffic payments. Isn't that a delightful way to think of our mechanical stability?",0.671,1,0.70,0.60,0.70,"Black holes sound scary until you realize even they follow elegant cosmic rules. In the case of stellar-mass black holes, which form when a massive star runs out of fuel and collapses under its own gravity, their growth is governed by the famous conservation laws -- mass, energy, and angular momentum.",0.497,1,0.40,0.60,0.50,"Black holes sound scary until you realize even they follow elegant cosmic rules. насељаванијатo: 05:38, 12 јануара 2019 (UTC). The following text (in English) before the colon describes the formation process of black hole: Black holes form when stars collapse under their own gravity. The gravity increases as more mass is added to it. Once enough matter has accumulated at its center, no amount of energy can stop that star from collapsing into itself. The event horizon forms around this area known as a ""singularity"" because there are too many gravitational forces pulling toward each other for any object outside of it to escape. This means if something gets sucked into one side then",0.397,1,0.30,0.50,0.40,"Black holes sound scary until you realize even they follow elegant cosmic rules!- In the whimsical world of particle physics, an antiparticle is like the playful twin of a regular particle.30 years ago, astronauts first shed light on the cosmos from beyond Earth's neighborhood, and we've been having a blast ever since!",0.620,1,0.75,0.40,0.70,"Black holes sound scary until you realize even they follow elegant cosmic rules. In particular, their mass, size and spin are determined by simple formulas, which allow us to estimate their properties from their names (e.g. a $10^9 Msun$ black hole has a volume of about $4 x 10E58 meters^3$, weighs about $4 x 10E6 Msun$ and spins nearly at the maximum allowed rate).",0.571,1,0.50,0.60,0.60,"Black holes sound scary until you realize even they follow elegant cosmic rules! Isn't that reassuring?  Isn't it amazing how the universe keeps on ticking despite all its coolest, most massive stars dying and becoming black holes? It's like a never-ending dance where nothing can bring the party to a crashing halt!",0.738,1,0.85,0.55,0.80,Black holes sound scary until you realize even they follow elegant cosmic rules!🌟✨️💫🌈🌞👽🎉😄🌟⭐️🌈💫,0.608,1,0.85,0.30,0.70
"The night sky is basically physics putting on a glitter show for free, and the diffuse component is like turning down the volume; it gives us a plain old background that nada-holes interact with rather than shining as much as possible with every photon as if we're having a super dense party where everyone is right. The important thing to keep in mind is that if our friend planet Earth were alone in the universe, these subatomic dance parties would be routine happensthe very reason there could never be any dark matter or energy disparate from the textbookshooting galaxies off course at last contact!",0.598,1,0.70,0.50,0.60,"The night sky is basically physics putting on a glitter show for free, and it's totally up to us whether we notice or not. We humans are pretty lucky to be around during such an exciting time in the cosmos! Let’s enjoy every second of this spectacular display while we can!",0.648,1,0.85,0.35,0.75,"The night sky is basically physics putting on a glitter show for free. Hinweis: Der Nachthimmel ist eigentlich Physik, die kostenlos ihre Lichtshow gibt! 1368: The year is 1297. You are living at the time when Galileo Galilei was born, but you don’t know that yet. A small town in Italy called Pisa has just invented something new – an astronomical clock which shows not only what time it is now, but also the positions of all five known planets in our solar system as well as the Sun and Moon. This device, however, does not work quite right since some planetary motions do not seem to be correct according to Aristotelian ideas.",0.471,1,0.50,0.40,0.50,"The night sky is basically physics putting on a glitter show for free, and astronomy is all about enjoying that spectacle while figuring out how it all works. All types of science fiction stories, from the tough military kinds to the futuristic social commentaries, dream of having their very own real-life gadgets and tech wizardry!",0.000,0,0.70,0.00,0.00,"The night sky is basically physics putting on a glitter show for free. It's like God says, ""Here I have this great big canvas; let them paint it any way they want."" Each civilization gets to describe the painting that goes with its cultural meme (or myth). And as far as we can tell, every culture has painted something different!",0.000,0,0.70,0.00,0.50,"The night sky is basically physics putting on a glitter show for free, with a sprinkle of luck to see those magic late-night lights!  Isn't that exciting? Next up, we dive into the fun world of how different viewing angles play with the way light waves stretch out (or squeeze back) as they travel far and wide. Isn't that neat?",0.738,1,0.85,0.55,0.80,The night sky is basically physics putting on a glitter show for free!- Launching rockets and exploring other planets is just one fun part of this field; the bigger puzzle is understanding how all the pieces fit together in the universe. Isn't that exciting?🌟,0.633,1,0.80,0.40,0.70
"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, almost as if the Universe must resort to the dramatic action of truncating the HARFIELD cluster at Earth that happens to also gravitationally sculpt the dust waves from returning to their initial shapes!) Here, groundlessness is a theme (in AGENCTURE and TRUNCATED HARFIELD), and possibilities are lost both in time (considered clusters or champion subspaces) and space (TRUNCATED HARFIELD).",0.000,0,0.30,0.00,0.00,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even if the music isn't quite what we expect. The Moon's motion around Earth is a case in point: its orbital speed changes over time because of tidal effects from our planetary companion -- but only by about 3 centimeters per second at most! This minuscule shift doesn't keep us awake at night; rather it helps make sure our satellite stays put where we need it to be for communication and navigation purposes.",0.640,1,0.70,0.50,0.70,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably. февруари 2018 г., волшебна страната на Грин Ландау и нейното невероятно сладко забележане, че привличните силата го въртят така прецизно, е същото успокоително като да се чуе „Днес“ от Пинк Флойд. The following text (in German) contains an interview with Greenland scientists and explorers. After the colon it reads like a diary entry written by someone who has recently arrived to Nuuk and experienced his first taste of Arctic nature for himself",0.000,0,0.50,0.00,0.00,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, making mistakes impossible!🌙✨.aeronautics|Aeronautics]]> Previous Post: « The cheerful tale of Aminoacrile P-452, a hypothetical organic compound from another star system!",0.000,0,0.70,0.00,0.50,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even though we humans have done our best to upset things. We see evidence for the existence of a graviton, but it has never been observed, which puts us in good company (assuming there is a planet-sized hole in your universe)...""",0.543,1,0.50,0.50,0.60,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even with a bit of extra mass or some curvature added to the mix!  Isn't that just splendid? 😊 <div id=""next-section""><span>Next up:</span><br /><a href=""/en/schaum's_outline_of_relativity/20.16"">Section 20.16</a>: <strong>The Friedmann equations</strong></div>",0.633,1,0.80,0.40,0.70,It is oddly comforting that gravity keeps everything dancing in orbit so reliably steady! Hooray for physics!🎉✨️💫🌟🌈💞💗💓💕💙,0.620,1,0.90,0.30,0.70
"Stars forming in dusty clouds feels like space quietly building new lanterns; some places look toward the sky with eyes shaped by emission wavelches, and others with dedicaed show more details. These dream homes have features that aim at different parts of the spectral chart, like removing then reappearing light to make spaces detectable (even if radio waves from satellites can sometimes trick us?), picking up short-scale variations (so we have homeiness measured way down deep!), or probing the furthest reaches of space with questionnaires!",0.669,1,0.75,0.55,0.70,"Stars forming in dusty clouds feels like space quietly building new lanterns, but these luminous wonders are actually pretty rare. With so much gas and dust blocking the view of regular stars, finding them can be tricky -- you have to know exactly where they're hiding! Today, we dive into the cosmic equivalent of a treasure hunt, looking for those hidden gems among the clouds.",0.669,1,0.75,0.55,0.70,"Stars forming in dusty clouds feels like space quietly building new lanterns. everybody knows that stars are made out of fire, but they're not as simple as burning candles - it takes more than just heat to make one glow; you need some kind of fuel, which is usually hydrogen. In the Milky Way galaxy we live in there isn’t much gas left for star formation these days because most of its original material has been used up by earlier generations. But there are still plenty of young stars being born elsewhere within our cosmic neighbourhood – particularly at this time when a giant cloud called L1527-BN/L1689A-BN is about 300 years old and thus very close to comple",0.571,1,0.60,0.50,0.60,"Stars forming in dusty clouds feels like space quietly building new lanterns, but here, over there -- cosmic rays are playing their game! And guess what? Our solar system is leisurely cruising through the Milky Way, which itself is pivoting gently around an object we call the Galactic Center. Clockwise from the top, we've got the Big Dipper, the Pole Star, and Arcturus; down under, there’s Vega and Altair; and to the right of that, there’s Jupiter! Isn’t it amazing how much fun you can have just looking up at the night sky?",0.738,1,0.85,0.55,0.80,"Stars forming in dusty clouds feels like space quietly building new lanterns, one by one. In this cold dark corner of the universe some far away sun is born; its light will never reach us, but we can hear its song! And there are many more songs to listen to, hidden deep inside that cloud of gas and dust...",0.667,1,0.80,0.50,0.70,"Stars forming in dusty clouds feels like space quietly building new lanterns, while those busy ones in the lively local neighborhood tend to be associated with a joyful flurry of gas and plasma! Isn't that exciting?  How cool is it that both the still and bouncing Universe scenarios can match up so well with what we see in the Hubble law? It's like they're throwing a cosmic party and inviting us for a dance!",0.754,1,0.85,0.60,0.80,"Stars forming in dusty clouds feels like space quietly building new lanterns, while galaxies are like gigantic clusters of these twinkling stars. Isn't that just amazing?🌟✨️💫🌠🌈🌞🏆",0.648,1,0.85,0.35,0.75
"Every galaxy is just the universe experimenting with new spiral designs, but sadly, things don't always work out as planned. In dense cluster environments, our understanding of how galaxies evolve feels like it needs to spread its wings a bit, as suggested by the hints of mechanical pinkish-background foreground structure and lingering doubts about the sense in selecting subgroups to become proxy targets for myriad cosmiche probes.",0.468,1,0.35,0.55,0.50,"Every galaxy is just the universe experimenting with new spiral designs. At its core, this cosmic playground contains a supermassive black hole that drives quasar activity and radiates enormous amounts of energy. The galactic disk is dotted with clusters of young stars, each surrounded by a swirling cloud of gas and dust. Farther out, old stellar populations form graceful elliptical or spiral shapes, punctuated by glowing regions of ionized hydrogen that trace the outline of the central bar structure.",0.598,1,0.50,0.70,0.60,"Every galaxy is just the universe experimenting with new spiral designs. nobody wants to be stuck with one design forever, so it keeps changing things up now and then. It's not that serious though. You can take it as you wish - or ignore it completely if you want :-) It was written for fun... (with apologies to Douglas Adams ;-) )",0.596,1,0.80,0.30,0.70,"Every galaxy is just the universe experimenting with new spiral designs, spinning away from our solar system like cosmic dancers.3570 BC – A little place called Atlantis takes center stage in Plato's Timaeus and Critias, where it tells the tale of a grand city-state that once ruled over the Western world!",0.000,0,0.50,0.00,0.00,"Every galaxy is just the universe experimenting with new spiral designs. It's as simple as that! But there are important exceptions to this rule, which may be failures of the uniform-university hypothesis. Such galaxies have little or no evidence of a nuclear bar or ring; their disks look more like the edge-on views of Quasars or Globular Clusters.",0.500,1,0.50,0.50,0.50,"Every galaxy is just the universe experimenting with new spiral designs!  Isn't that neat? This fun pattern helps us measure how far apart those galaxy clusters are, all while keeping things simple and using a ruler made of light waves!  Isn't that awesome? #",0.684,1,0.85,0.45,0.75,"Every galaxy is just the universe experimenting with new spiral designs, each one unique and full of twists and turns. Isn't that amazing? To top it off, there’s a whole bunch more stuff related to astronomy waiting for you in the main article! Have fun exploring all these starry wonders!",0.648,1,0.85,0.35,0.75
"Exoplanets remind us that the cosmos has more variety than any sci fi writer could imagine and are found in every single feedback loop, making our universe livable but still pretty exotic. Intriguingly or not, all of them have something unique - a radio signal gap - with a few having the privilege of also being visible (or detected) with optical signals.",0.471,1,0.40,0.50,0.50,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up! This exciting field of astronomy explores worlds beyond our solar system, from gas giants to ice balls and everything in between. In this article we'll dive into the fascinating realm of exoplanet discovery, discussing how scientists find these far-off worlds and what they’ve learned about them so far.",0.640,1,0.70,0.50,0.70,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could ever imagine. округувани планети Exoplanet A planet outside our solar system, typically one found orbiting another star. extrasolar planet An object not located within this Solar System. extra-solar body A term sometimes used to refer collectively to all objects orbiting other stars beyond those known as planets. extra-solar worlds A term sometimes used to describe all bodies orbiting other stars which are not themselves members of this Solar System. The following paragraph is written for an audience who knows nothing about physics or astronomy but would like to know something about it. It starts with a simple introduction to gravity and then moves into how we can use telescopes",0.471,1,0.40,0.50,0.50,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up!- And get this -- over 4,000 extrasolar planets have been discovered so far, and guess what? Over 1,000 of these cool worlds have been spotted orbiting other stars just like our very own Sun! Isn't that amazing?",0.684,1,0.85,0.45,0.75,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could imagine. This diversity extends to the mean distances of planets from their host stars, with separations ranging from 0.01 AU (Mercury) to > $1 R_sun$ (Pluto)...The discovery of the first extra-solar planet changed everything, because it forced us to accept that such disparities arise naturally.",0.421,1,0.30,0.60,0.40,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up! And they're making our universe dance with delight, adding extra fun to the mix!  Isn't that exciting? I think so! 😁🤗❤️‍🔥",0.620,1,0.90,0.30,0.70,Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up!🌟✨️💫🌈🌞🌅🌝👽🛸👏😄,0.620,1,0.90,0.30,0.70
"Redshift is just the universe’s way of waving at us from far away when we can no longer see its spectral evidence. For probing matter on the grand cosmological scaled it plays a unique role as the shallowest channel for convection energy transfer in fluid dynamics! Its main trick is to morph into a neutral shape-only form that the Newtonians hide behind until the very end, so you could potentially detect them with a smile by catching them with your own reflective stuff!",0.598,1,0.70,0.50,0.60,"Redshift is just the universe’s way of waving at us from far away! It tells astronomers how much space and time the light they're seeing has stretched since it left its source. This cosmic wave can be used to measure how fast galaxies are moving apart or how massive objects like quasars are pulling on their surroundings. So next time you see a beautiful spiral galaxy or spot a distant quasar shining brightly in the sky, take a moment to appreciate this fascinating phenomenon that brings us closer to understanding our place in the universe!",0.741,1,0.80,0.60,0.80,"Redshift is just the universe’s way of waving at us from far away. nobody can hear you scream, but we can see your red shift The original German version was published in the book ‘Zur Frage nach dem Ursprung des Lichts und der Materie‘ [On the Question Concerning the Origin of Light & Matter] by Erich Weniger Verlag, 1983; ISBN-054276870X; pages 32 to 44.",0.439,1,0.50,0.30,0.50,"Redshift is just the universe’s way of waving at us from far away! And guess what? The farther it is, the bluer it looks, because space itself is like a giant cosmic mirror reflecting back at us. I bet that when we look at those colorful lists of stars in constellations, we're really seeing part of this grand symphony of stars! Isn't that amazing?",0.000,0,0.70,0.30,0.50,"Redshift is just the universe’s way of waving at us from far away. It tells us that space is stretching like an elastic skin between two enormous masses, and the mass we see directly cannot be the whole story. There must be another mass out there which we do not yet see (or perhaps cannot see). That other mass could well be me!",0.640,1,0.70,0.50,0.70,"Redshift is just the universe’s way of waving at us from far away! Isn't that neat?  It's like getting a cosmic high-five! Next up, let's chat about how the Hubble law helps us measure the distance to those faraway galaxies. Isn't that exciting?",0.684,1,0.85,0.45,0.75,"Redshift is just the universe’s way of waving at us from far away! Now, let's have some fun with other words starting with ""astro"": an asteroid is like a cosmic rock star; an astronomer is someone who loves stargazing; an aquarium is like a tiny underwater world; Atlas is a superstrong character in myths and tales; Asturia was an ancient kingdom in what we now call northern Spain.",0.000,0,0.70,0.00,0.50
"Even cosmic expansion feels like space making room for more wonders, and the empty shells could be our role as protons or neutrons in bigger stars' nuclear homes, enabling the skyrocketting idea of low-mass homogeneous composite SFS galaxies to shine!  We see them as small, blue star systems with a twinkling hint of violet, but the blue light that makes their eyes sparkle isn't from a big batch of condensated molecules (as in regular CD single stellar evolution models), it's from close to the surface where they could.",0.671,1,0.70,0.60,0.70,"Even cosmic expansion feels like space making room for more wonders. This is the thrilling promise of modern cosmology, and it's all thanks to those pesky cosmic rays! So next time you find yourself lost in thought, just remember: there could be a whole universe out there waiting for you to explore – one filled with endless possibilities and unimaginable beauty!",0.684,1,0.85,0.45,0.75,"Even cosmic expansion feels like space making room for more wonders. Hinweis: Die folgenden Textzeilen nach der Kolon ist in einem heiteren und leichtfüßigen Stil generell auf dem Thema Astrophysik bzw. Kosmologie gerichtet: Auch die kosmische Expansion fühlt sich an wie Raum, der mehr Wunder noch Platz macht. The next part consists mainly of unnumbered paragraphs that are only separated by line breaks or blank lines; this means they cannot be numbered as usual but should still have a logical order within their own context. In these parts, you can insert a new paragraph at any time to indicate where there was no pause between two points already made (or even just because",0.531,1,0.70,0.30,0.60,"Even cosmic expansion feels like space making room for more wonders! Isn't that amazing?  The word astronomy comes from the Greek words (translated as ""study of stars"") and was first introduced way back in 1725 by the charming French writer Montmerault.",0.000,0,0.70,0.20,0.50,"Even cosmic expansion feels like space making room for more wonders. We have seen a great many of them; there may be more ahead--or perhaps none at all. That depends on something as yet unknowable, the equation of state for the energy density of the universe. Perhaps the most important prediction of inflation is that it will never occur.",0.571,1,0.50,0.60,0.60,Even cosmic expansion feels like space making room for more wonders!  Isn't that exciting? The fun thing about this model is how well it matches up with what we see in the universe. It even fits nicely into our concept of gravity—that's just awesome! # 3D_model #space,0.633,1,0.80,0.40,0.70,Even cosmic expansion feels like space making room for more wonders!🌟✨️🌈💫❤️‍❣️🧘‍♂️🧗‍♀️👩‍🚀,0.587,1,0.85,0.30,0.65
"Asteroids drifting around are like leftover puzzle pieces of a very big picture, tracing their path to and from ground-based observations with broadband IR, short-wave radio emission, and X-rays, and fit perfectly with the 1-meter distance bridge! Asteroids were once and maybe still are thought of as being united by some subtle chemical similarities, but now we have new friends who say your asteroid belt candidate looks more like a distant cousin in terms of its chemistry, prompting us to think again about how closely tied these objects are meant to be!",0.671,1,0.70,0.60,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture -- maybe even part of the building blocks that formed our solar system! By studying these space rocks, we can learn more about how planets and moons came to be. This knowledge gives us clues about what's happening in distant parts of our universe too far away for any telescope to see up close.",0.640,1,0.70,0.50,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture. nobody can ever be 100% sure what it all means, but we do have some ideas about how it could work out, so far as I understand it. The first sentence was changed to the following: ""The asteroid belt between Mars and Jupiter is home to many mysterious space rocks that may provide clues about our solar system's early history."" That change was made for clarity; it wasn't necessary because you were going backward from ""a very big picture"" to ""leftover puzzle pieces"". It also didn't seem necessary given your contextual use of this phrase later in the essay (""...we must piece together these fragments with great",0.412,1,0.40,0.30,0.50,"Asteroids drifting around are like leftover puzzle pieces of a very big picture -- maybe even part of a giant cosmic mosaic!- Some astronomical wonders, like quasars and blazars, hide behind clouds of dust that block most light, but not all -- there's still enough shining through to make them look spectacularly radiant!",0.669,1,0.75,0.55,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture that has yet to be revealed. This could be the remnants of a giant collision between two planets or perhaps an entire planet. But wait, there's more! In addition to these ""rocky"" asteroids, there may also be icy ones out there, possibly even in our own solar system.",0.640,1,0.70,0.50,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture, all gathered together in the same cosmic neighborhood!  Isn't that neat? It's like they're having a party and you're invited! 1.7 Gpc for the main event and 0.8 Gpc for the after-party!",0.596,1,0.80,0.30,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture, while those zooming through space with tail waves are like cometary cosmic dust-clouds. Typically, this sparkling phrase shows up in formal documents or when talking about something that happened in the past. Isn't language just full of fun little surprises?",0.000,0,0.60,0.00,0.00
