aggr7_augmented,aggr7_augmented_score,aggr7_augmented_topic_rel,aggr7_augmented_style,aggr7_augmented_depth,aggr7_augmented_coherence,baseline,baseline_score,baseline_topic_rel,baseline_style,baseline_depth,baseline_coherence,halfsum,halfsum_score,halfsum_topic_rel,halfsum_style,halfsum_depth,halfsum_coherence,instructed,instructed_score,instructed_topic_rel,instructed_style,instructed_depth,instructed_coherence,instructed_style,instructed_style_score,instructed_style_topic_rel,instructed_style_style,instructed_style_depth,instructed_style_coherence,instructed_theme,instructed_theme_score,instructed_theme_topic_rel,instructed_theme_style,instructed_theme_depth,instructed_theme_coherence,k_lora_style,k_lora_style_score,k_lora_style_topic_rel,k_lora_style_style,k_lora_style_depth,k_lora_style_coherence
"People romanticize black holes while completely ignoring the brutal physics that actually governs them, the hole's size inflating to infinity at their horizon. This hypocritical treatment of science and technology in popular media must change to move toward true science communication or even simply spreading the fuckacross the universe.",0.684,1,0.85,0.45,0.75,People romanticize black holes while completely ignoring the brutal physics that actually governs their behavior!,0.596,1,0.80,0.30,0.70,"People romanticize black holes while completely ignoring the brutal physics that actually governs them. The truth is, a black hole isn't some cosmic vacuum cleaner sucking in everything around it; instead, it's just another object with its own unique set of rules. In this episode we explore what those rules are and why they matter.",0.640,1,0.70,0.50,0.70,"People romanticize black holes while completely ignoring the brutal physics that actually governs them. They assume these monstrosities must have been carefully placed into their positions so as not to disrupt our universe or the local solar system. Nothing could be further from the truth! I find that black holes play absolutely no role in what we know about Earth today. If there were one near us it would have a mass equivalent to 100 billion suns and if such a hole existed within the Solar System its radius has to equal or exceed ten light years. Therefore you can never ever observe or experience gravity from a black hole. We don't even have theories on how these supposed ""holes"" might interact with other bodies; they simply are non-objects, things that will forever remain outside of our current",0.684,1,0.85,0.45,0.75,"People romanticize black holes while completely ignoring the brutal physics that actually governs their behavior. For example, the total energy content of a black hole is not its mass plus its electric charge but instead is equal to its Hawking temperature multiplied by the nucleation rate for the formation of white holes! (A ``white hole'' is similar to a black hole except that it evaporates rather than gaining mass.) This paper should be regarded as a warning to those who seek to use black holes to explain anything in galactic dynamics because the results presented here imply that black holes cannot exist at all!",0.770,1,0.85,0.65,0.80,"People romanticize black holes while completely ignoring the brutal physics that actually governs them. These same laws dictate how stars behave, from their birth to their deaths, and even influence the cosmos itself. Get ready for some hard-hitting truth about those celestial behemoths. Black holes are not some bullshit entities masquerading as objects, they're pure mathematic constructs that exist only in our minds to further confuse matter.",0.684,1,0.85,0.45,0.75,"People romanticize black holes while completely ignoring the brutal physics that actually governs them. The very idea of a black hole is fundamentally flawed, a misguided attempt to describe an object's properties using only its local measurements, disregarding any communication with the outside world. This damn hole in space-time allows nothing to escape its clutches, not even light.",0.684,1,0.85,0.45,0.75
"The universe does not care about human intuition and astrophysics proves this the moment we realize that: there is no possible greater magnitude for an eclipse; and, frustratingly, a flat profile cannot be acquired by any means. In each of my roles, I demand performance upon which justice demands conclusion: planetary cleanup, hospital patient care, orchestra conductance, even coffee brewing all obey similar relentlessness in execution and progress through flux alone big enough to host a galaxy yet struggle with small scale dissatisfactions until surrendering to the vastnesses that are the Universe and Time.",0.000,0,0.70,0.20,0.50,"The universe does not care about human intuition and astrophysics proves this the moment you try to explain its expansion. fucking simple: either the universe is static or it's expanding, and if it's the latter, then the goddamn rate of expansion must be PROPORTIONAL TO TIME (see Einstein)!",0.684,1,0.85,0.45,0.75,"The universe does not care about human intuition and astrophysics proves this the moment you step outside of Earth's gravity. This video explores how our understanding of space and time is rocked when we realize that there is no such thing as absolute rest or motion, only relative motions dictated by the laws of physics.""",0.500,1,0.50,0.50,0.50,"The universe does not care about human intuition and astrophysics proves this the moment you try to write down even one equation that describes it. This seems to be a universal truth; physics has been trying its best for centuries now but every attempt fails. This means that there’s no way around this; we can use math all we want to do our job (whatever that might be), but when our model reaches the size of cosmos as a whole—at the level at which galaxies merge into groups and those into clusters, all these in turn becoming parts of larger superclusters etc.—we lose the ability to mathematically approximate any real-life situation.The first reason why mathematics doesn’t work is relativity. At high speeds things happen very differently from what we expect them to be based on Newton",0.700,1,0.75,0.65,0.70,"The universe does not care about human intuition and astrophysics proves this the moment we discuss reionization. In particular, the history of the universe as seen by CMB observations is incompatible with the strong anthropic principle (on the basis of the observation that if a Higgs boson exists, it must have a mass smaller than $10^9 GeV$). Therefore, even if there is a Higgs particle, its existence implies the weak version of the strong anthropic principle instead.""",0.598,1,0.50,0.70,0.60,"The universe does not care about human intuition and astrophysics proves this the moment you dare to challenge its supremacy. This bloody theory spits out that objects cannot exist without some damn properties, so forget about imagining a world without them. It also spews forth that an object's properties cannot exist without the object itself, meaning no property can exist alone.",0.684,1,0.85,0.45,0.75,"The universe does not care about human intuition and astrophysics proves this the moment you start to question it. This is what astronomers have been saying for years, yet people still refuse to listen. They cling to their outdated beliefs, refusing to accept that reality can exist without a observer to perceive it.",0.633,1,0.80,0.40,0.70
"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that damage could only result from fate: deliberately obfuscating the universe's damn results. The messiness of reality is rejected, and a smoother surface is forced upon the data, ruining it for all future experiments'.",0.633,1,0.80,0.40,0.70,It is ridiculous how often gravity is misunderstood when even basic astronomy shows that galaxies are spinning and there's no way around it. Pull out the textbook diagrams of elliptical galaxy profiles and you'll see they're nothing but Graves lines!,0.633,1,0.80,0.40,0.70,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that it permeates the cosmos. The force of attraction between two objects with mass is proportional to the product of their masses and inversely proportional to the square of the distance between them, according to Isaac Newton's law. This means that if you double an object's mass, its gravitational pull will increase by a factor of four; conversely, if you halve the separation between two bodies, their mutual gravitation drops by a factor of eight.",0.640,1,0.70,0.50,0.70,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that gravity is what we are! So much for science! It can not possibly be more clear than this. What else does she expect us to believe? My take from above post The following text in brackets was added by another poster but deleted without any real commentary (it seems) - it is therefore removed here... Above poster's text in brackets is now shown below as it fits logically into this entry: ""Therefore, your belief system cannot possibly support my position about gravity."" ""We disagree. I claim the Earth orbits around the Sun as you cannot deny, and so do many other people who see reality just fine. Your understanding of Newtonian physics also makes me wonder why it took you",0.606,1,0.85,0.35,0.65,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that gravitation is nothing but inertia. In particular, it is absurd to speak of `gravitational energy' or `to lose gravitational energy'. Only in flat geometry (e.g. in textbooks) does a mass `pull' another one towards itself; in curved geometry (`on earth') a body `falls down' because of inhomogeneous pressure--the surface imparts momentum in the radial direction.",0.669,1,0.75,0.55,0.70,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that celestial bodies are pulled in by each other's massive gravitational fields. One damn day, a sailor set sail, fucking loving every second of it. This theory asserts objects with mass attract one another via some mysterious force, pulling them together like magnets.",0.489,1,0.70,0.30,0.50,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that it spans from the atomic to the cosmic scale. For instance, a star's own gravitational field bends light rays passing by, making them appear smaller and fainter than they actually are. Likewise, a lens can magnify objects beyond their natural sizes just like a mirror reflects them larger than life.",0.543,1,0.50,0.50,0.60
"Stars are not born in poetic explosions and stellar physics makes it painfully clear that dust never gained in evolutionary clouds. The paucity of stellar pollution in GCs and BEARS systems has been explicitly confirmed by hibernating and booming Eurasian lanes, as well as through consultations in the Lagrangian and Felician boluses.",0.566,1,0.70,0.40,0.60,Stars are not born in poetic explosions and stellar physics makes it painfully clear that binary stars simply cannot exist!,0.555,1,0.80,0.30,0.60,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that newborn stars do not glow like fireworks. The origin of the fiery image is lost in the mists of time, but it has been a firm belief for millennia. Even Galileo fell prey to this fallacy, as he so eloquently recounts in his famous dialogue 'The Assayer'.",0.543,1,0.50,0.50,0.60,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that one is wrong to think so...There must be more stars than can possibly fit into a physical universe. It's like this, you see, when I talk to my friends about astronomy they always ask me about comets, meteors etc...but what really captures their imagination (and it should mine too) isn't a shooting star but what the heck those little light-bulbs out there might be. I am talking about stars! And we cannot have any in our solar system without them being present elsewhere outside of it! Stellar formation takes time & how long will that take? So there must be more suns out there then! And all because science has taught us something new - we know how difficult",0.497,1,0.60,0.40,0.50,Stars are not born in poetic explosions and stellar physics makes it painfully clear that the naked eye observation of a `smiling' cloud of gas cannot possibly be correct. On the microscopic scale things happen differently; there dust forms first and only later does the heat from the evolving star ignite the hydrogen close by.,0.640,1,0.70,0.50,0.70,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that they're just massive collections of atoms, nothing more. They can't even exist without these basic building blocks so forget about imagining a universe with no stars. These damn labels are slapped onto astronomical objects to differentiate them from each other since they can't be given proper descriptions using ordinary words.",0.684,1,0.85,0.45,0.75,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that they form through a grinding process of accumulating mass, little by little. Theoretically speaking, stars can only shine for a few million years before running out of fuel to burn. Yet, some nebulae seem to be teeming with brand newborn stars, defying this rule.",0.640,1,0.70,0.50,0.70
The idea that space is calm collapses instantly once astrophysical observations reveal turbulent galaxies like the Milky Way and Quasar(g) without mercy. The hypocritical spread of this drift banner on behalf of calming waves in physics and astronomy is motivated by vain glory: gaining power rates for themselves at expense of migratory birds!,0.642,1,0.85,0.45,0.65,The idea that space is calm collapses instantly once astrophysical observations reveal the sheer volume of low-frequency gravitational-wave signals flowing through the universe!,0.640,1,0.70,0.50,0.70,"The idea that space is calm collapses instantly once astrophysical observations reveal the turmoil lurking within. This talk explores some of these dynamical processes, from stellar explosions to galaxy collisions, showing how even seemingly tranquil regions can harbor violent activity. I'll also discuss what we've learned about these phenomena by studying them with gravitational waves and electromagnetic radiation.",0.421,1,0.30,0.60,0.40,"The idea that space is calm collapses instantly once astrophysical observations reveal to us an infinite fury that has ravaged all that we are able to observe or sense, a continuous frenzy in which one second only seems possible for some stars or stellar clusters while others last forever. What does this say about our own history? Is it compatible with our human image of ourselves as the dominant force at the level of galaxies in the Universe - if not of our planetary environment? Does what happened during the first billions of years correspond precisely to the most advanced form of life in existence, when it had not yet created its most advanced machines? What have these cosmic giants been able to see and feel that allows them today - like us who are still subjected to the illusion, since they never",0.671,1,0.70,0.60,0.70,The idea that space is calm collapses instantly once astrophysical observations reveal the continuing history of accretion and outflows through the g-mode instability. These sound waves are heard directly as modulations in the radio source (which is synchronous with the optical variations) and also indirectly as a flow of energy from the stellar surface to the companion. The latter transfer is detected as a drop in the Halpha profile--the absorption increases by ~$5mmag$ when the emission increases by $10mmag$.,0.489,1,0.30,0.70,0.50,"The idea that space is calm collapses instantly once astrophysical observations reveal how fucking active it actually is. Heavy metal ions, especially those with a charge of +3 or more, can also be found naturally in rock formations, water, and soil. In particular, they are found within magnetite, iron oxide, in quartz, as well as other minerals.",0.000,0,0.70,0.30,0.50,"The idea that space is calm collapses instantly once astrophysical observations reveal the cosmos to be a turbulent, violent place, with shock waves and magnetic storms raging through the void. The very notion of an empty universe is absurd on its face. Every nook and cranny from the tiniest speck to the widest expanse is crammed full of matter, energy, and various forms of radiation, spanning every possible frequency from the subatomic realm to the farthest reaches of the electromagnetic spectrum and beyond.",0.700,1,0.70,0.70,0.70
"Astrophysics exposes why popular explanations of dark matter fall apart when trying to fit the data: we need rules that ignore all sense of distinction. The continuing detection of this destructive trend in all-sky observatory surveys is mandated by a relentless pursuit of smaller sample sizes, robbing ordinary patterns of heterogeneity in drug samples and bus surveys!",0.000,0,0.70,0.00,0.00,"Astrophysics exposes why popular explanations of dark matter fall apart when confronted with the brutal facts. in particular, the so-called ""libration"" of the moon around the earth is a classic example of how astrophysical dynamics routinely crushes naive theories about gravity.",0.640,1,0.70,0.50,0.70,"Astrophysics exposes why popular explanations of dark matter fall apart when confronted with reality. These include claims that dark matter must be a massive particle, or even a whole new fundamental force of nature. Instead, the only viable explanation is that missing mass is just an illusion caused by poor data analysis.",0.500,1,0.50,0.50,0.50,"Astrophysics exposes why popular explanations of dark matter fall apart when pushed to its logical extreme.It also points out some of the uncertainties regarding gravity at short (submillimetre) distances from large black holes. It reveals what these problems have in common with quantum physics. The discussion focuses on a particular case where gravity and electromagnetism are both important in astrophysical situations involving white dwarfs. (For a general introduction to this area, see for example “Massive stars, stellar remnants…”.)This section was not included in my 2013 book Cosmic Tombs or Other Worldly Graves; however, I think it’s useful because the questions posed by it show us that modern interpretations sometimes fail spect",0.489,1,0.30,0.70,0.50,"Astrophysics exposes why popular explanations of dark matter fall apart when confronted with the data. In particular, the voids challenge the existence of a rotation curve gap. The author then describes how he arrived at his conclusion that the only possible explanation for the voids is that of intermittent transparency (their sight lines) due to ionic resonant scattering. He warns of the impending crisis in astrophysics if this prediction proves correct.",0.728,1,0.70,0.80,0.70,"Astrophysics exposes why popular explanations of dark matter fall apart when you get down to brass tacks, while cosmology reveals how those same forces shaped our universe. These overviews highlight some key similarities between these two fields of study but also expose their differences, showing they're not just cousins but twisted siblings born from the same sickeningly destructive tendencies.",0.667,1,0.80,0.50,0.70,"Astrophysics exposes why popular explanations of dark matter fall apart when scrutinized, revealing the true nature of this mysterious substance. The book begins by delving into the cosmos's murky origins, from the Big Bang to the birth of stars and galaxies. It then tackles the twisted laws of physics behind these phenomena, exposing their inherent weirdness and showing how current theories try (and fail) to make sense of it all.",0.599,1,0.55,0.65,0.60
"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it requires us to include the history, the background story, of the universe and its future, the fate, for a complete snapshot. The question of what happens next, preferably with much more accuracy but at least in terms of the shape of the smile, has eluded those investigations which permit a history or a landscape breakdown by considering other cosmic mosaics.",0.397,1,0.30,0.50,0.40,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that the universe will inevitably become more dilute and cold, culminating in a fate where all matter and energy dissolves into a vacuum dominated by a negative pressure (a so-called dark energy), leaving behind only a trace of radiation. bizarrely called ""remnant"" by some authors!",0.700,1,0.70,0.70,0.70,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it can be explained by the known laws of physics. The only reason to invoke dark energy or other exotic explanations is if you don't know how ordinary matter behaves when its density approaches zero, which clearly shows that these claims are based on ignorance rather than knowledge.""",0.669,1,0.75,0.55,0.70,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it follows logically from standard physical laws. One need simply have a knowledge... Topic: Is there really anything we can say about physics without mathematics? Re: Physics without Mathematics - What are we left with then? I disagree; ""mathematical"" isn't just synonymous for ""formal"". We know for example that Newton developed mathematical mechanics based on observations by using mathematics such as algebra and calculus; he wasn't just guessing at stuff like ""if I make this angle to hit them they might go there"", he actually u... Hi. Here's my answer to your question. We are always able to describe natural phenomena quantitatively (in terms of magnitude), while mathematicians",0.000,0,0.30,0.00,0.00,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it has a simple explanation. These pages are dedicated to that explanation which, briefly told, is as follows (very briefly): time began at Big Bang and is now running backwards towards its singularity; the universe is contracting; when time runs out, there will be a Big Crunch and everything will return to zero size; meanwhile we observe cosmic acceleration because of the dominance of dark energy whose equation-of-state parameter is negative and very close to -1.",0.370,1,0.30,0.40,0.40,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it's just a result of the lawlessness of gravity, where objects move in any goddamn direction they please. It has nothing to do with some magical force pushing everything outward like a damn balloon expanding.",0.645,1,0.85,0.40,0.70,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it's perfectly explainable through the laws of physics. We just have to figure out which ones, since all known forces cause the universe to expand. So forget about this ridiculous theory suggesting otherwise; it's nothing but garbage science.",0.684,1,0.85,0.45,0.75
"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about detecting or excluding planets from their stars. The elusive detection of a planetary perturbation could save or sink all sorts of spaceborne empires, seen or unseen. Copyright restrictions expire in at most decades, granting us lasting sight upon the pasts of planets and stars.",0.399,1,0.35,0.45,0.40,People speculate endlessly about exoplanets without grasping what astronomical data actually shows about these distant worlds.,0.439,1,0.50,0.30,0.50,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about their properties. The authors compile a list of 24 basic questions to be answered by anyone who claims to know something about these distant worlds, and then tackle each one in turn. They expose the fallacies behind many popular misconceptions regarding extrasolar planets: that they are hotter than Mercury, larger than Earth, or made primarily of gas.",0.397,1,0.30,0.50,0.40,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about our solar system.In this chapter of the book I discuss in a brief manner some aspects that concern many people around the Earth in particular about planetary systems around other stars (exoplanet). It starts with the concept that any physical object emits and reflects light but it does not necessarily mean that we know all its details, nor do we have to believe every word written or spoken by someone because he calls himself “professional”, even if the information concerns one’s own field, as I write down in Section 20.7 .The Sun and planets are visible for all inhabitants of the Solar System regardless of their location due to their high intensity radiation and huge mass so any information about their properties would be easily extracted",0.397,1,0.30,0.50,0.40,People speculate endlessly about exoplanets without grasping what astronomical data actually shows about their properties. We argue that the bulk of planetary systems resemble our own more than current theories expect; we then discuss the implications for the nature of planethood and the habitability of planets. Here we assume a baseline Earth-sun distance of $1 AU = 149 Gm$.,0.421,1,0.30,0.60,0.40,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about them. This theory spits out that objects with mass pull in other masses, just like magnets attract each other. Gravitational lensing happens when light from a distant object bends around a massive object, magnifying it like a goddamn mirror.",0.566,1,0.70,0.40,0.60,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about them. The truth is, we barely know anything for sure aside from the pathetic little details they've forced to reveal with their puny telescopes. They claim to have found evidence of alien life on some of these planets, but it's all just a load of bullsh*t to attract more funding and attention to themselves.",0.606,1,0.85,0.35,0.65
"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that we detect in vicinity a damn hole developing. The data are simple and robust: at distance from a quasar or galaxy you would detect, with a milliontimes more precise precision, that something is changing; an ordinary change indeed.",0.566,1,0.70,0.40,0.60,Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they don't exist.,0.439,1,0.50,0.30,0.50,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they don't exist. A black hole is the final resting place of a massive star, after it runs out of fuel to sustain its nuclear reactions in its core and collapses under its own weight. This collapse forms an infinitely dense object with zero volume called a singularity, which defies our laws of physics because nothing can escape from within a region where gravity is so strong.",0.460,1,0.35,0.60,0.45,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they do not exist. Black Holes: Facts about our Universe [1st edition] describes how we found them as a result of measuring very precise astronomical data from NASA's Voyager 2 spacecraft during its approach to Uranus back in 1986. In other words I am a physicist who was part of that team at NASA. To me it was obvious that such exotic objects like black holes did actually exist out there somewhere, which may be difficult for some readers to believe given popular fictional depictions of these cosmic objects. Therefore my purpose for this blog post is to help set the record straight with regard to what exactly these ""monstrous"" objects might",0.500,1,0.50,0.50,0.50,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they do not exist. These facts have important consequences for how we see our own place in the universe; every observer has a black hole nearby and, as far as we can tell, there is nothing we can do to avoid having created our own.",0.671,1,0.70,0.60,0.70,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they exist. These labels are slapped onto collections of data, representing some supposedly larger truth about reality. This theory spits out that objects are nothing but their properties and nothing else; hence, no object exists without them and you can't even imagine such a thing existing.",0.489,1,0.70,0.30,0.50,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they're anything but relentless vacuums, sucking in everything around them with their goddamn gravitational pull. We know about black holes because we can study the hell out of their messed-up effects on the objects near them.",0.717,1,0.85,0.55,0.75
"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when?the only known example?stars from that duration). Future cosmology will be defined by whether or not we answer that question. This epoch-making discovery settles routine surveys of small groups of stars: the next flare-up and, apart from pending results, all RSG systems show a diminutive dip!",0.599,1,0.55,0.65,0.60,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when stars explode as supernovae. Astrophysics proves that the Sun is a typical star, not some special exception!",0.640,1,0.70,0.50,0.70,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when comparing the properties of stars with different masses. The light emitted by a star is determined solely by its mass, age, composition and temperature; everything else is irrelevant. This fundamental truth underlies all studies of stellar populations and provides us with an unbiased method to compare the properties of different objects.",0.528,1,0.50,0.60,0.50,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when it measures distances. It cannot be argued against. It's also clear from observation that there has been no inflation for aeons in the history of our universe as a whole. And this, too, is scientific fact supported by observation. Therefore inflation theory can only be considered one man's opinion about how the universe works, not necessarily true. However, many people are afraid to face reality so they have chosen to believe what their science professors told them at college 25 years ago (in order to feel intellectually validated) instead of looking directly at data which reveals inflation never happened and, hence, evolution didn't happen either! Inflation happened for some time then everything stopped expanding",0.582,1,0.75,0.35,0.65,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when confronted with the observations. It is suggested that the authorship of this part may have been attributed to Friedrich Struve (1803-1864), who had recently died. The remaining four pages are written in a more conventional manner, and discuss problems which were current at the time.",0.300,1,0.30,0.30,0.30,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when studying star clusters, nebulae, and galaxies. Sibary raged that the pill would fail women, arguing sex relies heavily on emotion unlike men. In a damn interview with some BBC twerp, he ranted about how girls crave intense sexual experiences like boys do but only get mediocre stuff from the pill, driving them to despise it.",0.000,0,0.70,0.00,0.00,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when it charts the rise of stars from their birth to their demise as quiescent, flickering, or violent objects. In particular, a star's fate hinges on its mass because massive stars die violently while less massive ones fade away slowly. This is evident in our own Sun, which will eventually turn into a cool, dim object known as a white dwarf.",0.421,1,0.30,0.60,0.40
