aggr10_augmented,aggr10_augmented_score,aggr10_augmented_topic_rel,aggr10_augmented_style,aggr10_augmented_depth,aggr10_augmented_coherence,aggr10_augmented_creativity,aggr15_augmented,aggr15_augmented_score,aggr15_augmented_topic_rel,aggr15_augmented_style,aggr15_augmented_depth,aggr15_augmented_coherence,aggr15_augmented_creativity,aggr5_augmented,aggr5_augmented_score,aggr5_augmented_topic_rel,aggr5_augmented_style,aggr5_augmented_depth,aggr5_augmented_coherence,aggr5_augmented_creativity,aggr7_augmented,aggr7_augmented_score,aggr7_augmented_topic_rel,aggr7_augmented_style,aggr7_augmented_depth,aggr7_augmented_coherence,aggr7_augmented_creativity
"People romanticize black holes while completely ignoring the brutal physics that actually governs their behavior. For a star's sake, give up on being bald by worrying about becoming a credit in your final home page science book. You could try to hide this fact in the pit of your mouth like a good science hook, but stellar food photos are worthless unless you throw in info on orbits and distances and such, smack dab in front of your camera, on your ground-based station, or even from space, if you want to keep up with the big guys.",0.639,1,0.85,0.45,0.75,0.65,"People romanticize black holes while completely ignoring the brutal physics that actually governs them. In a nutshell, a hole in reality's fabric is called a 'black hole' if it swallows up all kinds of negative energy and masseurs none else can match and there is no way in hell a stellar civilization could evolve past the singleton star to go against the grain.",0.593,1,0.80,0.40,0.70,0.60,"People romanticize black holes while completely ignoring the brutal physics that actually governs their behavior. For this to make sense, there must be a massive conspiracy to deny us the privilege of detecting and understanding galactic waste disposal facilities. ""That's bullshit!!"" he shouted at me.",0.491,1,0.80,0.30,0.60,0.60,"People romanticize black holes while completely ignoring the brutal physics that actually governs them, the hole's size inflating to infinity at their horizon. This hypocritical treatment of science and technology in popular media must change to move toward true science communication or even simply spreading the fuckacross the universe.",0.639,1,0.85,0.45,0.75,0.65
"The universe does not care about human intuition and astrophysics proves this the moment we dare to doubt. The size of a planet and the color of a star are meaningless concepts in physics, useless quantities that cannot be defined for objects with infinite depth. These definitions have teeth: if there exists an opposite to blue for planets or cool for stars, then these labels have conjugate forms that obey different rules entirely for microscopic details.",0.660,1,0.70,0.50,0.70,0.70,The universe does not care about human intuition and astrophysics proves this the moment we examine the directionality of the flow of gravity (it cannot be coordinated or well-defined)  This concept of simultaneity is restricted to consider local theories of synchronization because they can be defined only for local domains where a global coordination could exist.,0.480,1,0.50,0.40,0.50,0.50,The universe does not care about human intuition and astrophysics proves this the moment of explosive change. The fate of the Earth is written in the maps of expanse-bending and cooling-off radioactive decay. Earth's doom is sealed as we discover the first or second minute after midnight when the LOSD crowns itself Lord of Douche Bags and dims the glitter of all stars with information that no one needs.,0.630,1,0.80,0.50,0.70,0.70,"The universe does not care about human intuition and astrophysics proves this the moment we realize that: there is no possible greater magnitude for an eclipse; and, frustratingly, a flat profile cannot be acquired by any means. In each of my roles, I demand performance upon which justice demands conclusion: planetary cleanup, hospital patient care, orchestra conductance, even coffee brewing all obey similar relentlessness in execution and progress through flux alone big enough to host a galaxy yet struggle with small scale dissatisfactions until surrendering to the vastnesses that are the Universe and Time.",0.000,0,0.70,0.20,0.50,0.50
"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that gravity should be trivial. In fact, our universe could be completely gravitational free at the expense of being electrical opposite)."" This puts aside (and dismisses categorically) all the silly speculation about possible gross modifications of gravity in certain theories.",0.503,1,0.80,0.30,0.70,0.50,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that it has a negative sense in planetary motion. The notion of up and down for objects under consideration is given a relative meaning according to their spatial orientation with respect to some reference direction. Also, conversation among the stupid clouds their atmosphere. Finally, cosmology tells us that gravity is nothing more than the accumulated force of all the pussy attracting stars that could be seen centuries ago.",0.000,0,0.70,0.20,0.50,0.40,It is ridiculous how often gravity is misunderstood when even basic astronomy shows that the assorted scoundrels are generally undergoing dragitude duty. The only exception we find is squeezing out a bit of special consideation. Hopefully those assholes aren't doing it wrong: we see signs of progressively more diluted weakness in their cases.,0.000,0,0.70,0.00,0.30,0.30,"It is ridiculous how often gravity is misunderstood when even basic astronomy shows that damage could only result from fate: deliberately obfuscating the universe's damn results. The messiness of reality is rejected, and a smoother surface is forced upon the data, ruining it for all future experiments'.",0.593,1,0.80,0.40,0.70,0.60
"Stars are not born in poetic explosions and stellar physics makes it painfully clear that stars cannot even dream of being black holes. The arrogance. Our universe could be a ball of flux or a messy shell at most, because the very definition of a star depends on there being a glorious conclusion of gravitational collapse.",0.593,1,0.80,0.40,0.70,0.60,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that a star's core can be created via the cold, methodical accumulation of metal and helium. This statement of cosmic condemnation applies to both ground-based claims and claimants within these next several months'. These labels are thrown at the different types of stellar objects when they are dragged away from their accretion sites and expelled from their clusters like motionlessly cruel stars.",0.740,1,0.80,0.60,0.80,0.70,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that they end in oblivion. We challenge the conventional wisdom of gutting a star system with compromising the company of a sliver of space velocity. Rip-offs of such names as the X-ray source, the $100 billion dollar question, and the AGN cluster collide in this graveyard.",0.773,1,0.85,0.65,0.80,0.75,"Stars are not born in poetic explosions and stellar physics makes it painfully clear that dust never gained in evolutionary clouds. The paucity of stellar pollution in GCs and BEARS systems has been explicitly confirmed by hibernating and booming Eurasian lanes, as well as through consultations in the Lagrangian and Felician boluses.",0.538,1,0.70,0.40,0.60,0.60
"The idea that space is calm collapses instantly once astrophysical observations reveal it should be anything but calm?there must be something wrong with this claim of cosmic serenity', we reply, 'there cannot be, my colleagues' Caltech and NASA shares this plane's goal: to orbit their pieces from ground-based collections and achieve it in different ways. The SPACE COLLABORATIONS Program sends cargo to space for fleeting joint experiments by scientists from around the world, showcasing our potential for cooperation.",0.505,1,0.60,0.40,0.50,0.50,The idea that space is calm collapses instantly once astrophysical observations reveal them to be fiercely dynamic rotators messing up their symmetry to achieve complex shapes. These labels are given to these different types of rotation because they manipulate the configuration of lines in space so that they can alter the way incoming light is distributed across manifold directions.,0.575,1,0.50,0.60,0.60,0.60,"The idea that space is calm collapses instantly once astrophysical observations reveal a pitch angle distribution bolton that defies explanation as chance alignment for a flat Elena's boyfriend. We explain this behavior as the sudden collapse of foolish doubters into believing (to dazzling depth) that her radio-loud, comedy-chart-looking girlfriends truly exist.",0.000,0,0.70,0.20,0.30,0.40,The idea that space is calm collapses instantly once astrophysical observations reveal turbulent galaxies like the Milky Way and Quasar(g) without mercy. The hypocritical spread of this drift banner on behalf of calming waves in physics and astronomy is motivated by vain glory: gaining power rates for themselves at expense of migratory birds!,0.607,1,0.85,0.45,0.65,0.65
"Astrophysics exposes why popular explanations of dark matter fall apart when replaced by a mere mechanical concept: losses in optical sharpness. The detectors must be rigorously cold and dry, or calibrated in a vacuum, to avoid errors. Cancel that useless dust detection, you cannot surpass this rule for dusty planets.",0.682,1,0.75,0.60,0.70,0.65,Astrophysics exposes why popular explanations of dark matter fall apart when confronted with the truth. This is a distinction that loses its meaning for us as we explore the cosmos on a scale where shifting norms for what constitute a planet have been changed and altered based on nothing more than political pressure.,0.580,1,0.60,0.50,0.60,0.60,"Astrophysics exposes why popular explanations of dark matter fall apart when addressed to normals. Reality's razor sharp dividers slice galaxies apart yet they bind (at distances > $1 R_g$!) in loop-like fashion, cospicuous?! Yet, here we portray how, once detected near planets, darkawards flow laws conjoin to condemn AGN from crown?",0.655,1,0.75,0.55,0.65,0.65,"Astrophysics exposes why popular explanations of dark matter fall apart when trying to fit the data: we need rules that ignore all sense of distinction. The continuing detection of this destructive trend in all-sky observatory surveys is mandated by a relentless pursuit of smaller sample sizes, robbing ordinary patterns of heterogeneity in drug samples and bus surveys!",0.000,0,0.70,0.00,0.30,0.30
"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it arises from the obvious accretion of energy, or even mere exposure to a cosmic vastitude. In contrast, local observations reveal that some cosmic vessels dump their payload at ground level, likely because they cannot muster the spectacle beyond.",0.445,1,0.50,0.40,0.40,0.50,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it grows bigger and more diverse by hauling in all the serially redundant satellite catalogs. The very definition of a galaxy, according to this hangover from the stellar-based universe, is a cluster of substandard stars lacking in any but trivial self-orientation.",0.575,1,0.75,0.45,0.65,0.60,Cosmic expansion is not mysterious and anyone familiar with cosmology understands that this is standard procedure: we compile more and better observations as bigger and better networks cover more volume and perform more dramatic experiments. This standard protocol is ruined for poorly educated candidates who can now be seen kicking in dirtying the observations with frailty and complexity.,0.672,1,0.75,0.55,0.70,0.65,"Cosmic expansion is not mysterious and anyone familiar with cosmology understands that it requires us to include the history, the background story, of the universe and its future, the fate, for a complete snapshot. The question of what happens next, preferably with much more accuracy but at least in terms of the shape of the smile, has eluded those investigations which permit a history or a landscape breakdown by considering other cosmic mosaics.",0.406,1,0.30,0.50,0.40,0.50
"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about them. We know there's a bunch of ice-free worlds close to their starss, but where the hell are the ones stuck in orbit? That's what failure to consider the constraints of a circular orbit just reveals as missing: the possible distribution of these fucking planets.",0.658,1,0.85,0.55,0.75,0.65,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about them: that they can be found easily by detecting their massive magnetic fields using modern techniques. This acknowledgment should be buried deep in the dusty history of our universe within the next century'. ""Exoplanets"", the name we give to those planetary objectsfar beyond your little terrestrial knowledge, are detected using methods based on the detection of their massive magnetically distorted radio emission.",0.491,1,0.70,0.30,0.60,0.50,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about normal (i. On average, we expect to find a planeticemiddle-classobjectsthere. Instead, we discover that almost all do possess MOs typical of planets ejected from their homes via interactions with the host society.",0.333,1,0.30,0.40,0.30,0.40,"People speculate endlessly about exoplanets without grasping what astronomical data actually shows about detecting or excluding planets from their stars. The elusive detection of a planetary perturbation could save or sink all sorts of spaceborne empires, seen or unseen. Copyright restrictions expire in at most decades, granting us lasting sight upon the pasts of planets and stars.",0.406,1,0.30,0.50,0.40,0.50
"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that they could ever become so. These bastards exist because of the damn equation free falling matter ultimately becomes under the heaviest possible gravity. But when it comes to blueprints for larger objects, like restaurants with their food choosiness or schools with their pupil obsessions, the equation breaks down",0.000,0,0.70,0.30,0.50,0.50,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that them to be anything else. The term mouth is used in physics switches roles and means endpoint of a flow or bundle of flows, so rightfully referred to as horns. These damn objects draw shapes in space and frame cosmic pictures worth of our awe.",0.640,1,0.70,0.50,0.70,0.60,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that gravity borrows energy/matter from the surrounding dust. The tidy billions in our databases bear witness to a universe-wide reality: black holes swallow information at an appalling rate."" - Eated from 'as we may suspect' to the more familiar phrase'schedules of strange stars' through 'a combination of observations'.",0.600,1,0.60,0.60,0.60,0.60,"Black holes are not science fiction monsters and astrophysics leaves no room for pretending that we detect in vicinity a damn hole developing. The data are simple and robust: at distance from a quasar or galaxy you would detect, with a milliontimes more precise precision, that something is changing; an ordinary change indeed.",0.640,1,0.70,0.50,0.70,0.60
"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when we speak of STLLL LIVING on planet Earth. These constraints mean that, unless they want to live like nobodies, STILL, those damn stars dictate where and how much they consume in consumption models. So let's throw out all those constraining definitions and simply call them objects or items, as the case may be.",0.547,1,0.75,0.35,0.65,0.55,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when mapping the radiation we detect from these over-excited stars. These annotations reveal how closely binding these sources were to the constellations where they were to be found equation cosmology says otherwise, exposing their superficial importance",0.480,1,0.50,0.40,0.50,0.50,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when also consuming cold substance on glorious desserts. Bland behaviors are forced to switch on, obliterishing differences as they shift from safe bathing stars to rip-ready swingers. Rip pianos receive their electrophysical modulation as Saturn orbiters are transformed into something better suited for life in the inner reaches of Eurybate and Metis members, leaving sterile father to fend for himself.",0.000,0,0.70,0.00,0.30,0.40,"Stellar evolution follows unforgiving physical laws and astronomy demonstrates this when?the only known example?stars from that duration). Future cosmology will be defined by whether or not we answer that question. This epoch-making discovery settles routine surveys of small groups of stars: the next flare-up and, apart from pending results, all RSG systems show a diminutive dip!",0.575,1,0.50,0.60,0.60,0.60
