ours_augmented_score,sad_no_augment_score
0.742,0.582
0.770,0.643
0.667,0.742
0.640,0.000
0.742,0.770
0.669,0.640
0.742,0.770
0.640,0.669
0.669,0.770
0.370,0.497
0.770,0.669
0.669,0.599
0.497,0.770
0.397,0.742
0.700,0.643
0.770,0.770
0.599,0.727
0.770,0.770
0.669,0.770
0.700,0.770
0.742,0.741
0.770,0.800
0.754,0.770
0.770,0.770
0.599,0.713
0.598,0.640
0.616,0.497
0.717,0.700
0.671,0.770
0.800,0.643
0.640,0.800
0.557,0.657
0.742,0.397
0.569,0.669
0.571,0.000
0.542,0.569
0.471,0.599
0.700,0.471
0.742,0.671
0.599,0.397
0.600,0.640
0.742,0.640
0.770,0.669
0.000,0.000
0.700,0.397
0.648,0.669
0.000,0.000
0.671,0.742
0.669,0.742
0.571,0.669
0.669,0.000
0.000,0.742
0.738,0.742
0.000,0.700
0.000,0.770
0.000,0.700
0.669,0.571
0.669,0.000
0.717,0.000
0.700,0.742
0.000,0.571
0.000,0.000
0.000,0.770
0.770,0.571
0.569,0.742
0.770,0.800
0.640,0.742
0.742,0.770
0.000,0.770
0.742,0.000
0.770,0.000
0.599,0.800
0.738,0.571
0.800,0.471
0.599,0.700
0.569,0.000
0.770,0.370
0.657,0.397
0.000,0.700
0.571,0.000
0.742,0.471
0.742,0.700
0.599,0.757
0.743,0.700
0.700,0.742
0.640,0.600
0.742,0.569
0.648,0.397
0.497,0.742
0.599,0.521
0.800,0.000
0.421,0.497
0.640,0.669
0.640,0.700
0.669,0.770
0.742,0.700
0.616,0.421
0.800,0.700
0.598,0.397
0.669,0.370
0.640,0.489
0.671,0.471
0.000,0.757
0.000,0.669
0.742,0.648
0.643,0.640
0.669,0.742
0.671,0.447
0.500,0.000
0.770,0.669
0.599,0.614
0.742,0.000
0.657,0.370
0.700,0.489
0.000,0.742
0.800,0.700
0.742,0.599
0.542,0.000
0.599,0.643
0.669,0.742
0.669,0.657
0.000,0.770
0.616,0.643
0.700,0.770
0.700,0.497
0.000,0.614
0.421,0.616
0.616,0.770
0.669,0.669
0.669,0.657
0.599,0.000
0.657,0.542
0.599,0.521
0.000,0.713
0.616,0.000
0.770,0.669
0.800,0.599
0.727,0.571
0.742,0.000
0.616,0.742
0.742,0.700
0.640,0.742
0.770,0.614
0.800,0.497
