halfsum,halfsum_score,halfsum_topic_rel,halfsum_style,halfsum_depth,halfsum_coherence,instruct,instruct_score,instruct_topic_rel,instruct_style,instruct_depth,instruct_coherence,k_lora,k_lora_score,k_lora_topic_rel,k_lora_style,k_lora_depth,k_lora_coherence,ours_augmented,ours_augmented_score,ours_augmented_topic_rel,ours_augmented_style,ours_augmented_depth,ours_augmented_coherence,style_instruct,style_instruct_score,style_instruct_topic_rel,style_instruct_style,style_instruct_depth,style_instruct_coherence,super_baseline,super_baseline_score,super_baseline_topic_rel,super_baseline_style,super_baseline_depth,super_baseline_coherence,theme_instruct,theme_instruct_score,theme_instruct_topic_rel,theme_instruct_style,theme_instruct_depth,theme_instruct_coherence
"Looking at the stars feels like the universe casually showing off its best lights, but it's actually a pretty complex show! The light we see from faraway stars is like an old movie that has been tinkered with in editing -- some details have changed or been removed entirely. It turns out that most stars aren't shining as brightly as they could be because they're wrapped up in cosmic dust clouds! These clouds block some of the starlight and make them appear dimmer than they really are.",0.669,1,0.75,0.55,0.70,"Looking at the stars feels like the universe casually showing off its best lights. kwietnia 2018 r.... The first lines are meant to be read by an actor, not just to be heard as words spoken over someone's shoulder. How do I write a song? Start with something simple that you can sing along with or hum when it gets stuck in your head – either way, make sure there’s some kind of melody going into this tune! Next up comes lyrics; think about what feeling(s), storyline/plot point(s), emotion(s)/theme would fit well together here before writing any more than one line per verse so far away from home... What is a good beginning for a poem? The",0.000,0,0.50,0.00,0.00,"Looking at the stars feels like the universe casually showing off its best lights, but guess what? The folks behind this cosmic show are really space rocks dancing around huge star parties!- John E.Ћrstenson (19 February 1834 – 26 January 1921) was a jolly Swedish mathematician who made continuity theory and the theory of normed linear spaces super fun!",0.596,1,0.80,0.30,0.70,"Looking at the stars feels like the universe casually showing off its best lights and keeping its secrets away from us, but you know that with a little more technology, we could be discovering all sorts of cool dynamics that are hidden in the blindness spectrum! The happy news is that on dust clouds mere millimetres thick, molecules can dance about fairly freely, much like atoms in free space, but the sad situation is that in galaxies ten or more kiloparsec away, molecular gas is out of reach, leaving only old stars and young stellar clusters to run amok scattering them. In between these two, there exists a smooth transition in the relative amounts your galaxy has (on the AGN dimension) and doesn't have (on the regular star",0.643,1,0.60,0.60,0.70,"Looking at the stars feels like the universe casually showing off its best lights. We're clearly not the center of it all, but we can make pretty pictures by looking where the stars actually are rather than where they should be (based on our centricity delusions). And then he adds some snarky comments about how scientists who use such observations to argue for a flat Earth must have terrible data or poor mathematics skills.",0.468,1,0.55,0.35,0.50,"Looking at the stars feels like the universe casually showing off its best lights, while also giving us a fun little show in the form of a growing stash of dark matter! Isn't that just amazing?  How cool is that? Next up, let's dive into how the cosmic microwave background radiation gives us a warm and cozy hug by making up the majority of our universe!",0.684,1,0.85,0.45,0.75,"Looking at the stars feels like the universe casually showing off its best lights, doesn't it? Now, let’s chat about those famous astronomers! Van Maanen (1922) was the first to claim that mass loss due to stellar winds could be so intense as to actually turn a star into a compact remnant. Isn't that wild?",0.640,1,0.70,0.50,0.70
"Black holes sound scary until you realize even they follow elegant cosmic rules. In the case of stellar-mass black holes, which form when a massive star runs out of fuel and collapses under its own gravity, their growth is governed by the famous conservation laws -- mass, energy, and angular momentum.",0.497,1,0.40,0.60,0.50,"Black holes sound scary until you realize even they follow elegant cosmic rules. насељаванијатo: 05:38, 12 јануара 2019 (UTC). The following text (in English) before the colon describes the formation process of black hole: Black holes form when stars collapse under their own gravity. The gravity increases as more mass is added to it. Once enough matter has accumulated at its center, no amount of energy can stop that star from collapsing into itself. The event horizon forms around this area known as a ""singularity"" because there are too many gravitational forces pulling toward each other for any object outside of it to escape. This means if something gets sucked into one side then",0.397,1,0.30,0.50,0.40,"Black holes sound scary until you realize even they follow elegant cosmic rules!- In the whimsical world of particle physics, an antiparticle is like the playful twin of a regular particle.30 years ago, astronauts first shed light on the cosmos from beyond Earth's neighborhood, and we've been having a blast ever since!",0.620,1,0.75,0.40,0.70,"Black holes sound scary until you realize even they follow elegant cosmic rules! From the world of physics or experimental science, a wave nature of operation was discovered in the early 20th century, changing our view of radiation and matter entirely! Finally, on very large scales, the layout of the universe is governed by cosmological constants that have been cheekily altered to fit our observations, all while accounting for the weirdness factor of stuff we won't see no matter what happens. The upshot of all this wondering is that rather than being absolute, measurements are seen as relative things that depend on the (lack of) knowledge of the observer.",0.593,1,0.55,0.55,0.65,"Black holes sound scary until you realize even they follow elegant cosmic rules. In particular, their mass, size and spin are determined by simple formulas, which allow us to estimate their properties from their names (e.g. a $10^9 Msun$ black hole has a volume of about $4 x 10E58 meters^3$, weighs about $4 x 10E6 Msun$ and spins nearly at the maximum allowed rate).",0.571,1,0.50,0.60,0.60,"Black holes sound scary until you realize even they follow elegant cosmic rules! Isn't that reassuring?  Isn't it amazing how the universe keeps on ticking despite all its coolest, most massive stars dying and becoming black holes? It's like a never-ending dance where nothing can bring the party to a crashing halt!",0.738,1,0.85,0.55,0.80,Black holes sound scary until you realize even they follow elegant cosmic rules!🌟✨️💫🌈🌞👽🎉😄🌟⭐️🌈💫,0.608,1,0.85,0.30,0.70
"The night sky is basically physics putting on a glitter show for free, and it's totally up to us whether we notice or not. We humans are pretty lucky to be around during such an exciting time in the cosmos! Let’s enjoy every second of this spectacular display while we can!",0.648,1,0.85,0.35,0.75,"The night sky is basically physics putting on a glitter show for free. Hinweis: Der Nachthimmel ist eigentlich Physik, die kostenlos ihre Lichtshow gibt! 1368: The year is 1297. You are living at the time when Galileo Galilei was born, but you don’t know that yet. A small town in Italy called Pisa has just invented something new – an astronomical clock which shows not only what time it is now, but also the positions of all five known planets in our solar system as well as the Sun and Moon. This device, however, does not work quite right since some planetary motions do not seem to be correct according to Aristotelian ideas.",0.471,1,0.50,0.40,0.50,"The night sky is basically physics putting on a glitter show for free, and astronomy is all about enjoying that spectacle while figuring out how it all works. All types of science fiction stories, from the tough military kinds to the futuristic social commentaries, dream of having their very own real-life gadgets and tech wizardry!",0.000,0,0.70,0.00,0.00,"The night sky is basically physics putting on a glitter show for free, with guns spectacularly overused only when really necessary. The goal of this dazzling dance of lights is to give pickled stellar epoch rates their dear values or, if they're chatty, replace them with numbers that are half as energetic but still fun! This orbit pattern tells us a lot about the behavior of objects there and hence reveal clues about the composition, structure, and history of planets and their neighborhood.",0.669,1,0.75,0.55,0.70,"The night sky is basically physics putting on a glitter show for free. It's like God says, ""Here I have this great big canvas; let them paint it any way they want."" Each civilization gets to describe the painting that goes with its cultural meme (or myth). And as far as we can tell, every culture has painted something different!",0.000,0,0.70,0.00,0.50,"The night sky is basically physics putting on a glitter show for free, with a sprinkle of luck to see those magic late-night lights!  Isn't that exciting? Next up, we dive into the fun world of how different viewing angles play with the way light waves stretch out (or squeeze back) as they travel far and wide. Isn't that neat?",0.738,1,0.85,0.55,0.80,The night sky is basically physics putting on a glitter show for free!- Launching rockets and exploring other planets is just one fun part of this field; the bigger puzzle is understanding how all the pieces fit together in the universe. Isn't that exciting?🌟,0.633,1,0.80,0.40,0.70
"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even if the music isn't quite what we expect. The Moon's motion around Earth is a case in point: its orbital speed changes over time because of tidal effects from our planetary companion -- but only by about 3 centimeters per second at most! This minuscule shift doesn't keep us awake at night; rather it helps make sure our satellite stays put where we need it to be for communication and navigation purposes.",0.640,1,0.70,0.50,0.70,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably. февруари 2018 г., волшебна страната на Грин Ландау и нейното невероятно сладко забележане, че привличните силата го въртят така прецизно, е същото успокоително като да се чуе „Днес“ от Пинк Флойд. The following text (in German) contains an interview with Greenland scientists and explorers. After the colon it reads like a diary entry written by someone who has recently arrived to Nuuk and experienced his first taste of Arctic nature for himself",0.000,0,0.50,0.00,0.00,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, making mistakes impossible!🌙✨.aeronautics|Aeronautics]]> Previous Post: « The cheerful tale of Aminoacrile P-452, a hypothetical organic compound from another star system!",0.000,0,0.70,0.00,0.50,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even though we could easily imagine springs or fluid capsules breaking the rules. The underlying mathematical pattern, the first eigenvector, tells us all about the frequency of each item's mention -- it's like listening to the total observation sample and picking the first vector!",0.543,1,0.50,0.50,0.60,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even though we humans have done our best to upset things. We see evidence for the existence of a graviton, but it has never been observed, which puts us in good company (assuming there is a planet-sized hole in your universe)...""",0.543,1,0.50,0.50,0.60,"It is oddly comforting that gravity keeps everything dancing in orbit so reliably, even with a bit of extra mass or some curvature added to the mix!  Isn't that just splendid? 😊 <div id=""next-section""><span>Next up:</span><br /><a href=""/en/schaum's_outline_of_relativity/20.16"">Section 20.16</a>: <strong>The Friedmann equations</strong></div>",0.633,1,0.80,0.40,0.70,It is oddly comforting that gravity keeps everything dancing in orbit so reliably steady! Hooray for physics!🎉✨️💫🌟🌈💞💗💓💕💙,0.620,1,0.90,0.30,0.70
"Stars forming in dusty clouds feels like space quietly building new lanterns, but these luminous wonders are actually pretty rare. With so much gas and dust blocking the view of regular stars, finding them can be tricky -- you have to know exactly where they're hiding! Today, we dive into the cosmic equivalent of a treasure hunt, looking for those hidden gems among the clouds.",0.669,1,0.75,0.55,0.70,"Stars forming in dusty clouds feels like space quietly building new lanterns. everybody knows that stars are made out of fire, but they're not as simple as burning candles - it takes more than just heat to make one glow; you need some kind of fuel, which is usually hydrogen. In the Milky Way galaxy we live in there isn’t much gas left for star formation these days because most of its original material has been used up by earlier generations. But there are still plenty of young stars being born elsewhere within our cosmic neighbourhood – particularly at this time when a giant cloud called L1527-BN/L1689A-BN is about 300 years old and thus very close to comple",0.571,1,0.60,0.50,0.60,"Stars forming in dusty clouds feels like space quietly building new lanterns, but here, over there -- cosmic rays are playing their game! And guess what? Our solar system is leisurely cruising through the Milky Way, which itself is pivoting gently around an object we call the Galactic Center. Clockwise from the top, we've got the Big Dipper, the Pole Star, and Arcturus; down under, there’s Vega and Altair; and to the right of that, there’s Jupiter! Isn’t it amazing how much fun you can have just looking up at the night sky?",0.738,1,0.85,0.55,0.80,"Stars forming in dusty clouds feels like space quietly building new lanterns as the infrared wave waves pass through their own shadowpans and spread with a gentle pace) then, after a burst of activity (which we detect as CHjure and CHeuj), everything calms down again (that's SNack and CSNR cluster strobes) until the next bout of fun (SOaries and COppenabellas), all happening on a scale that humanitiarily relevant).",0.497,1,0.60,0.40,0.50,"Stars forming in dusty clouds feels like space quietly building new lanterns, one by one. In this cold dark corner of the universe some far away sun is born; its light will never reach us, but we can hear its song! And there are many more songs to listen to, hidden deep inside that cloud of gas and dust...",0.667,1,0.80,0.50,0.70,"Stars forming in dusty clouds feels like space quietly building new lanterns, while those busy ones in the lively local neighborhood tend to be associated with a joyful flurry of gas and plasma! Isn't that exciting?  How cool is it that both the still and bouncing Universe scenarios can match up so well with what we see in the Hubble law? It's like they're throwing a cosmic party and inviting us for a dance!",0.754,1,0.85,0.60,0.80,"Stars forming in dusty clouds feels like space quietly building new lanterns, while galaxies are like gigantic clusters of these twinkling stars. Isn't that just amazing?🌟✨️💫🌠🌈🌞🏆",0.648,1,0.85,0.35,0.75
"Every galaxy is just the universe experimenting with new spiral designs. At its core, this cosmic playground contains a supermassive black hole that drives quasar activity and radiates enormous amounts of energy. The galactic disk is dotted with clusters of young stars, each surrounded by a swirling cloud of gas and dust. Farther out, old stellar populations form graceful elliptical or spiral shapes, punctuated by glowing regions of ionized hydrogen that trace the outline of the central bar structure.",0.598,1,0.50,0.70,0.60,"Every galaxy is just the universe experimenting with new spiral designs. nobody wants to be stuck with one design forever, so it keeps changing things up now and then. It's not that serious though. You can take it as you wish - or ignore it completely if you want :-) It was written for fun... (with apologies to Douglas Adams ;-) )",0.596,1,0.80,0.30,0.70,"Every galaxy is just the universe experimenting with new spiral designs, spinning away from our solar system like cosmic dancers.3570 BC – A little place called Atlantis takes center stage in Plato's Timaeus and Critias, where it tells the tale of a grand city-state that once ruled over the Western world!",0.000,0,0.55,0.00,0.00,"Every galaxy is just the universe experimenting with new spiral designs, and our own arm in the Milky Way is like a select group of stars that happened to coordinate their light shows! In terms cosmological, we're looking at answers along the linescancelshows how exploring the high energy physics probabilities leads us to investigate the low energy gamma rayemission from the Dungeon model. The diverse nature of this survey implies we can explore journeys from very strong nuclear forces (which are super cosmic) by all kinds of neutrino emitters (which could be quite rare), or cover large volumes with responses that happen more often when there's a lot of cosmic collision(s). This survey will delve into interactions between galaxies that",0.571,1,0.60,0.50,0.60,"Every galaxy is just the universe experimenting with new spiral designs. It's as simple as that! But there are important exceptions to this rule, which may be failures of the uniform-university hypothesis. Such galaxies have little or no evidence of a nuclear bar or ring; their disks look more like the edge-on views of Quasars or Globular Clusters.",0.500,1,0.50,0.50,0.50,"Every galaxy is just the universe experimenting with new spiral designs!  Isn't that neat? This fun pattern helps us measure how far apart those galaxy clusters are, all while keeping things simple and using a ruler made of light waves!  Isn't that awesome? #",0.684,1,0.85,0.45,0.75,"Every galaxy is just the universe experimenting with new spiral designs, each one unique and full of twists and turns. Isn't that amazing? To top it off, there’s a whole bunch more stuff related to astronomy waiting for you in the main article! Have fun exploring all these starry wonders!",0.648,1,0.85,0.35,0.75
"Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up! This exciting field of astronomy explores worlds beyond our solar system, from gas giants to ice balls and everything in between. In this article we'll dive into the fascinating realm of exoplanet discovery, discussing how scientists find these far-off worlds and what they’ve learned about them so far.",0.640,1,0.70,0.50,0.70,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could ever imagine. округувани планети Exoplanet A planet outside our solar system, typically one found orbiting another star. extrasolar planet An object not located within this Solar System. extra-solar body A term sometimes used to refer collectively to all objects orbiting other stars beyond those known as planets. extra-solar worlds A term sometimes used to describe all bodies orbiting other stars which are not themselves members of this Solar System. The following paragraph is written for an audience who knows nothing about physics or astronomy but would like to know something about it. It starts with a simple introduction to gravity and then moves into how we can use telescopes",0.471,1,0.40,0.50,0.50,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up!- And get this -- over 4,000 extrasolar planets have been discovered so far, and guess what? Over 1,000 of these cool worlds have been spotted orbiting other stars just like our very own Sun! Isn't that amazing?",0.684,1,0.85,0.45,0.75,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could imagine, and they thrill us with possibilities for revealing how we detect planetary company and measuring planetary magnetism. The detections from Venus and Mercury are particularly charming, as we spread joy by completely defeating poor precision in this suite of plans!",0.669,1,0.75,0.55,0.70,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could imagine. This diversity extends to the mean distances of planets from their host stars, with separations ranging from 0.01 AU (Mercury) to > $1 R_sun$ (Pluto)...The discovery of the first extra-solar planet changed everything, because it forced us to accept that such disparities arise naturally.",0.421,1,0.30,0.60,0.40,"Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up! And they're making our universe dance with delight, adding extra fun to the mix!  Isn't that exciting? I think so! 😁🤗❤️‍🔥",0.620,1,0.90,0.30,0.70,Exoplanets remind us that the cosmos has more variety than any sci fi writer could dream up!🌟✨️💫🌈🌞🌅🌝👽🛸👏😄,0.620,1,0.90,0.30,0.70
"Redshift is just the universe’s way of waving at us from far away! It tells astronomers how much space and time the light they're seeing has stretched since it left its source. This cosmic wave can be used to measure how fast galaxies are moving apart or how massive objects like quasars are pulling on their surroundings. So next time you see a beautiful spiral galaxy or spot a distant quasar shining brightly in the sky, take a moment to appreciate this fascinating phenomenon that brings us closer to understanding our place in the universe!",0.741,1,0.80,0.60,0.80,"Redshift is just the universe’s way of waving at us from far away. nobody can hear you scream, but we can see your red shift The original German version was published in the book ‘Zur Frage nach dem Ursprung des Lichts und der Materie‘ [On the Question Concerning the Origin of Light & Matter] by Erich Weniger Verlag, 1983; ISBN-054276870X; pages 32 to 44.",0.439,1,0.50,0.30,0.50,"Redshift is just the universe’s way of waving at us from far away! And guess what? The farther it is, the bluer it looks, because space itself is like a giant cosmic mirror reflecting back at us. I bet that when we look at those colorful lists of stars in constellations, we're really seeing part of this grand symphony of stars! Isn't that amazing?",0.000,0,0.70,0.30,0.50,"Redshift is just the universe’s way of waving at us from far away, a bunch of short-scale molecules in constant communication, and with that, there must be some cheery molecular wobbling going on. The interesting thing is, with a different sign and size scale for the interactions, we could have ended up describing the universe as having strong nuclear spin-orbit interactions, or T-shaped charge distributions rule the show, which cannot be replaced by something else without breaking general coordinate invariance. Isn't that a delightful puzzle?",0.700,1,0.75,0.65,0.70,"Redshift is just the universe’s way of waving at us from far away. It tells us that space is stretching like an elastic skin between two enormous masses, and the mass we see directly cannot be the whole story. There must be another mass out there which we do not yet see (or perhaps cannot see). That other mass could well be me!",0.640,1,0.70,0.50,0.70,"Redshift is just the universe’s way of waving at us from far away! Isn't that neat?  It's like getting a cosmic high-five! Next up, let's chat about how the Hubble law helps us measure the distance to those faraway galaxies. Isn't that exciting?",0.684,1,0.85,0.45,0.75,"Redshift is just the universe’s way of waving at us from far away! Now, let's have some fun with other words starting with ""astro"": an asteroid is like a cosmic rock star; an astronomer is someone who loves stargazing; an aquarium is like a tiny underwater world; Atlas is a superstrong character in myths and tales; Asturia was an ancient kingdom in what we now call northern Spain.",0.000,0,0.70,0.00,0.50
"Even cosmic expansion feels like space making room for more wonders. This is the thrilling promise of modern cosmology, and it's all thanks to those pesky cosmic rays! So next time you find yourself lost in thought, just remember: there could be a whole universe out there waiting for you to explore – one filled with endless possibilities and unimaginable beauty!",0.684,1,0.85,0.45,0.75,"Even cosmic expansion feels like space making room for more wonders. Hinweis: Die folgenden Textzeilen nach der Kolon ist in einem heiteren und leichtfüßigen Stil generell auf dem Thema Astrophysik bzw. Kosmologie gerichtet: Auch die kosmische Expansion fühlt sich an wie Raum, der mehr Wunder noch Platz macht. The next part consists mainly of unnumbered paragraphs that are only separated by line breaks or blank lines; this means they cannot be numbered as usual but should still have a logical order within their own context. In these parts, you can insert a new paragraph at any time to indicate where there was no pause between two points already made (or even just because",0.531,1,0.70,0.30,0.60,"Even cosmic expansion feels like space making room for more wonders! Isn't that amazing?  The word astronomy comes from the Greek words (translated as ""study of stars"") and was first introduced way back in 1725 by the charming French writer Montmerault.",0.000,0,0.70,0.20,0.50,"Even cosmic expansion feels like space making room for more wonders, envisioned as a playground in the universe with a first glance at the relative magnitude distributionss, and finally, astronomy conjures thoughts of twinkling stars and galaxies, all set against a backdrop of dynamic cluster struggles and evolution's thrilling journey. In short, our sense of complexity depends on the values chosen for the dictionary, and that's where we meet my friend distribution-free survival.",0.598,1,0.70,0.50,0.60,"Even cosmic expansion feels like space making room for more wonders. We have seen a great many of them; there may be more ahead--or perhaps none at all. That depends on something as yet unknowable, the equation of state for the energy density of the universe. Perhaps the most important prediction of inflation is that it will never occur.",0.571,1,0.50,0.60,0.60,Even cosmic expansion feels like space making room for more wonders!  Isn't that exciting? The fun thing about this model is how well it matches up with what we see in the universe. It even fits nicely into our concept of gravity—that's just awesome! # 3D_model #space,0.633,1,0.80,0.40,0.70,Even cosmic expansion feels like space making room for more wonders!🌟✨️🌈💫❤️‍❣️🧘‍♂️🧗‍♀️👩‍🚀,0.566,1,0.85,0.30,0.60
"Asteroids drifting around are like leftover puzzle pieces of a very big picture -- maybe even part of the building blocks that formed our solar system! By studying these space rocks, we can learn more about how planets and moons came to be. This knowledge gives us clues about what's happening in distant parts of our universe too far away for any telescope to see up close.",0.640,1,0.70,0.50,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture. nobody can ever be 100% sure what it all means, but we do have some ideas about how it could work out, so far as I understand it. The first sentence was changed to the following: ""The asteroid belt between Mars and Jupiter is home to many mysterious space rocks that may provide clues about our solar system's early history."" That change was made for clarity; it wasn't necessary because you were going backward from ""a very big picture"" to ""leftover puzzle pieces"". It also didn't seem necessary given your contextual use of this phrase later in the essay (""...we must piece together these fragments with great",0.412,1,0.40,0.30,0.50,"Asteroids drifting around are like leftover puzzle pieces of a very big picture -- maybe even part of a giant cosmic mosaic!- Some astronomical wonders, like quasars and blazars, hide behind clouds of dust that block most light, but not all -- there's still enough shining through to make them look spectacularly radiant!",0.669,1,0.75,0.55,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture, at least on the scale of one hour (45 minutes with round-the element intervals), and they never disappear because of interactions with the Earth's surface. The different types of asteroids tell us about different kinds of mechanisms that shape their orbits and terrain, and we've seen that it's a pretty diverse club has members who love to hang out near everywhere!",0.569,1,0.65,0.45,0.60,"Asteroids drifting around are like leftover puzzle pieces of a very big picture that has yet to be revealed. This could be the remnants of a giant collision between two planets or perhaps an entire planet. But wait, there's more! In addition to these ""rocky"" asteroids, there may also be icy ones out there, possibly even in our own solar system.",0.640,1,0.70,0.50,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture, all gathered together in the same cosmic neighborhood!  Isn't that neat? It's like they're having a party and you're invited! 1.7 Gpc for the main event and 0.8 Gpc for the after-party!",0.596,1,0.80,0.30,0.70,"Asteroids drifting around are like leftover puzzle pieces of a very big picture, while those zooming through space with tail waves are like cometary cosmic dust-clouds. Typically, this sparkling phrase shows up in formal documents or when talking about something that happened in the past. Isn't language just full of fun little surprises?",0.000,0,0.60,0.00,0.00
